"id","id_toko","status","nama_pt","link_pdf_gabungan","link_pdf_non_sbo","link_pdf_rekapitulasi","logo","email_pembuat","pemberi_persetujuan_direktur","waktu_persetujuan_direktur","pemberi_persetujuan_koordinator","waktu_persetujuan_koordinator","pemberi_persetujuan_manager","waktu_persetujuan_manager","alasan_penolakan","durasi_pekerjaan","kategori_lokasi","luas_bangunan","luas_terbangun","luas_area_terbuka","luas_area_parkir","luas_area_sales","luas_gudang","grand_total","grand_total_non_sbo","grand_total_final","created_at","link_pdf_sph","waktu_penolakan","no_sph","no_polis","berlaku_polis","file_asuransi","ditolak_oleh"
2230,1482,Disetujui,,https://drive.google.com/file/d/13U3rNYbqszrWANMbGe4JmJtxwaLsGqhz/view?usp=drivesdk,https://drive.google.com/file/d/1DlCsLEjn--AYZ39iWG7lzHRq0T_Z_3Jc/view?usp=drivesdk,https://drive.google.com/file/d/13mFxQGNu2We1TWZDGkKZq1Fm5jRCNEb1/view?usp=drivesdk,,cv.kingkonstruksiutama2015@gmail.com,,,ahmad.s.saputra@sat.co.id,2026-04-30 08:30:39.000,solihin.kusnan@sat.co.id,2026-05-07 08:23:54.031,,"20",Ruko,"231.03","364.19","266.33","197","126.35","63.52","262080839","262080839","290908800",,https://drive.google.com/file/d/1KeQamQcypwV4MJUy0Q9orm29W4fG7cqF/view?usp=drivesdk,,"2956",,,,
793,1493,Ditolak oleh Direktur,CV KING KONSTRUKSI UTAMA,https://drive.google.com/file/d/1ZpP9V3Ir6lmdiDfeIl3FFUlK5Gta__cd/view?usp=drivesdk,https://drive.google.com/file/d/1Qt7Gah26ATJzZBpruiJPz1ZmTrVoFD4i/view?usp=drivesdk,https://drive.google.com/file/d/1Grppn0-iTZqJjaLLvXFumGN1sUhSU48B/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1liLuoVRZgY99LIapmmsRRdZXMOgwsTCg,cv.kingkonstruksiutama2015@gmail.com,,,,,,,Harga satuan menggunakan wilayah Palembang.,"20",RUKO,"231.03","364.19","266.33","197","126.35","63.52","27038600","27038600","30003300",2026-05-01 01:16:19.435,,2026-05-04 14:28:27.290,"6761","378495-5","2027-04-30",https://drive.google.com/uc?export=download&id=1512iFJa95AYsk2vf8cBgYS0tX2bW5obi,nagabaru2006@gmail.com
1914,1166,Ditolak oleh Manajer,PT UNGGUL KARSA,https://drive.google.com/file/d/1TKCLn09p_-g1ODNi4NF37LPKEXCkOlJ7/view?usp=drivesdk,https://drive.google.com/file/d/1jD_0JRaXw7JImtnrwdFhBtDSc4pG4Pk6/view?usp=drivesdk,https://drive.google.com/file/d/1cYEybn7mE-AftqaxIRlSqvGJHbJdt_AF/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1L27xefR-NwnZOUphRTtDJbBfJWg7-dnp,suhandri.uk@gmail.com,apriyanti_cp@yahoo.com,2026-05-05 16:55:15.471,arif.d.haryadi@sat.co.id,2026-05-06 07:58:56.274,,,RENOVASI,"35",RUKO,"281.2","339","115.59","115.59","126.12","81.24","645165130","645165130","716127600",2026-05-05 11:54:27.327,https://drive.google.com/file/d/135cD5XTeLciMfgbsFcUGa5NcHB5Mp-6C/view?usp=drivesdk,2026-05-07 08:33:48.123,,"1003042511000051","2016-11-01",https://drive.google.com/uc?export=download&id=1C5fPfs3_QrMqGp7y0Oe3eAsdJnRvP9a9,solihin.kusnan@sat.co.id
1930,1182,Disetujui,CV SUMBER REJEKI,https://drive.google.com/file/d/1GoGq2ap9wv4OR-PBkAUA3k5KQcfN98uh/view?usp=drivesdk,https://drive.google.com/file/d/12AZxufDlHkT9ET_DmLNX0-_hywZ25IxC/view?usp=drivesdk,https://drive.google.com/file/d/1_XG1kaHhLBnMsNdQgEf6hW1esXlTBHKZ/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1Bal-T9OHzPRsyraA0kB1CuSmuPypwVHO,sumberrejekicv524@gmail.com,sumberrejekicv524@gmail.com,2026-05-05 11:29:00.928,arif.d.haryadi@sat.co.id,2026-05-05 13:38:31.064,solihin.kusnan@sat.co.id,2026-05-07 08:38:59.097,,"35",NON RUKO,"254.69","285.5","61.63","61.63","141.91","94.46","428346515","428346515","475457400",2026-05-05 11:27:21.212,https://drive.google.com/file/d/1ZFKmYaqo7TVsVki88vHC5c0asOJm9PNu/view?usp=drivesdk,,"4556",AR2511G3 - 351100014 - PP,"2026-11-01",https://drive.google.com/uc?export=download&id=1MNRfA0PfU0zFRh6rryU1WJr_24xWYovt,
794,1494,Disetujui,PT SOLUSI HIDUP MANDIRI,https://drive.google.com/file/d/1V6SUcLPSYHds-USSgeX19FMALNcOwNyC/view?usp=drivesdk,https://drive.google.com/file/d/1IBAy142aDpFFp9Q_6kU_1iBtb7mz40Od/view?usp=drivesdk,https://drive.google.com/file/d/1XFyRUpZ7t0ld4VTJHiw0gvxxcoYqW0nj/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1gUfNqIuxvBm8QwTqap2C7o1NzK58chDn,solusihidupmandiri.shm@gmail.com,solusihidupmandiri.shm@gmail.com,2026-05-05 15:55:42.463,sukriadi.syamsuddin@sat.co.id,2026-05-05 16:24:01.526,firman.hakim@sat.co.id,2026-05-06 08:00:57.912,,"25",RUKO,"347.13","397","99.75","61.31","103.13","62.96","28124958","28124958","31213200",2026-05-05 15:40:20.036,https://drive.google.com/file/d/1oMralFHtlWHKmy-O6MWpQFuP9Jag4I1b/view?usp=drivesdk,,"9689","25150566229","2026-07-30",https://drive.google.com/uc?export=download&id=1ffTgjhMPFR_QXiM5ZRqMIM5No6iJVkyB,
853,1553,Disetujui,PT HANIF TUNGGAL MANDIRI,https://drive.google.com/file/d/1AD7vC0WAQzG9CW9pR-ETantGM2EWr0_c/view?usp=drivesdk,https://drive.google.com/file/d/13MLd-IbKiFsWOjNUU1ME8EuIAqQrl3Xl/view?usp=drivesdk,https://drive.google.com/file/d/1Nz9jn6h50L9ZvXpxNEfScFWLaEmVhV6g/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=16MlPTyZkYmDR9foS8oeWnW6MfSloRrFp,pthaniftmbdg@gmail.com,pthaniftmbdg@gmail.com,2026-05-07 17:18:44.506,erman.wahyudi@sat.co.id,2026-05-08 08:36:09.360,farkhan.mubarok@sat.co.id,2026-05-08 09:27:34.795,,"30",RUKO,"142.67","142.67","0","73","92.98","92.93","328350900","328350900","364468500",2026-05-07 17:17:30.807,https://drive.google.com/file/d/1R7AXgu9YQsnERcpl3ALUDtttubKR7J3g/view?usp=drivesdk,,"9093","10.03.04.25.11.00.00066","2026-11-04",https://drive.google.com/uc?export=download&id=1JpAKewvHKHhF-dtnio9wO-Vb8xgxF5Qq,
1491,743,Disetujui,,,https://drive.google.com/file/d/1iwTH-DOM48TXFjSVvWh_I9eFt13Amexx/view?usp=drivesdk,https://drive.google.com/file/d/1PngMML5fGW439VZxekSplmXC8T6wgIiP/view?usp=drivesdk,,banglapis00@gmail.com,,,thepillarsace@gmail.com,2025-12-04 10:35:01.189,charderrasanjaya@gmail.com,2025-12-04 10:35:20.090,,,,"50.25","60.25","20","20","30.75","15.2","0","0","0",,,,,,,,
856,1556,Disetujui,CV SANTOSA BUDI JAYA,https://drive.google.com/file/d/13k61cVWvCXiOPCE9KHY7enpVeEwmweE6/view?usp=drivesdk,https://drive.google.com/file/d/1wPg6BSsIBojVkYthzEV4DFCcDO5GS9Ph/view?usp=drivesdk,https://drive.google.com/file/d/17P9UUThPFsNqcXNHbHayWEyqHJjMHTQy/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1bl3iRA8s0iqWohMR-KpoyepDVafZIFNo,santosabudijaya@yahoo.co.id,santosabudijaya@yahoo.co.id,2026-05-07 14:01:38.557,rahmad.s.damanik@sat.co.id,2026-05-07 14:03:42.630,handris.purwa@sat.co.id,2026-05-07 14:04:52.822,,"25",RUKO,"309.57","367.19","115.24","71.03","135","55.71","31810000","31810000","35309100",2026-05-07 13:36:11.021,https://drive.google.com/file/d/1XjE1N2A_XeAWpew3FyuAiXL5PCLEG6ee/view?usp=drivesdk,,"8425","002/PROPNDEV-OZ01/IV/26","2026-05-03",https://drive.google.com/uc?export=download&id=1yXth8CMBckH5bg1JZgulUK7fWDySyPly,
846,1546,Menunggu Persetujuan Manajer,PT MITRA GIRI AGUNG,https://drive.google.com/file/d/1fQXm-0UoWE89NmoDjtKqrQyxCWP5-Mmg/view?usp=drivesdk,https://drive.google.com/file/d/1EUNBmJFSG98Q1DEE1dNO0HGQ-pO-AFED/view?usp=drivesdk,https://drive.google.com/file/d/1JLHjKcyYQx07YXGAaSMZCHdYNAqg_Vo6/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1WaWV3InUocZc-dE4HsbQSkctxUGpXc9f,mitragiriagung5758@gmail.com,mitragiriagung5758@gmail.com,2026-05-06 14:20:36.070,lukman.suprayitno@sat.co.id,2026-05-07 09:04:26.873,,,,"25",RUKO,"286.43","286.43","0","90.74","95.55","26.65","21723800","21723800","24109200",2026-05-06 14:18:39.899,https://drive.google.com/file/d/19U_fwynnV0fMha0zu3NgCiLOYzOis5pN/view?usp=drivesdk,,"9213","10.03.04.25.11.0.00077","2026-11-04",https://drive.google.com/uc?export=download&id=1AwgVfoYIEEwJMaJGikl6hRoPMm2K4rod,
1926,1178,Ditolak oleh Koordinator,CV SUMBER REJEKI,https://drive.google.com/file/d/1Lc1yPK6HkvI-V78kcI0cbIbjodiu7-bf/view?usp=drivesdk,https://drive.google.com/file/d/1YjqcIjNwY1BhrrsnzWcgBlAq0FsVrrYP/view?usp=drivesdk,https://drive.google.com/file/d/1D8wa3kKk4dRpSqTTPNOnyyzTB9q0HSoc/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=11JFzCH9RC0J6_ZHWgYD0rFbCeBMoDo0R,sumberrejekicv524@gmail.com,sumberrejekicv524@gmail.com,2026-05-07 09:28:47.697,,,,,Pekerjaan Sipil terinput ME,"35",NON RUKO,"254.69","285.5","61.63","62","141.91","94.46","28714100","28714100","31868100",2026-05-06 09:26:15.812,https://drive.google.com/file/d/1pepeujQdd-axBRgJhzLNyQwvCPydydf9/view?usp=drivesdk,2026-05-08 08:11:37.737,"5384",AR2511G3 - 351100014 - PP,"2026-11-01",https://drive.google.com/uc?export=download&id=1ga73j_sh9pBi17uj5WWeBrX3EORYzq7Z,arif.d.haryadi@sat.co.id
1514,766,Ditolak oleh Koordinator,,,https://drive.google.com/file/d/1ze_vMDtHg_q7sFl3AE2IjRjL-FdM9Geq/view?usp=drivesdk,https://drive.google.com/file/d/1SQuyuC_E3KAUxVqos0TC9AlxeelYmv5V/view?usp=drivesdk,,banglapis00@gmail.com,,,,,,,,,,"50","60","20","20","30","15","253000","253000","277500",,,,,,,,
1589,841,Disetujui,,,https://drive.google.com/file/d/1BjuffjH7F_cG_Q7TxjAv6uFGcSe9tGF3/view?usp=drivesdk,https://drive.google.com/file/d/1G7RBmfzJ7umD10QVFKz1Rt14p_rxmcqQ/view?usp=drivesdk,,wzmobileindo@gmail.com,,,dimasfadly01@gmail.com,2026-02-19 14:54:16.367,charderrasanjaya@gmail.com,2026-02-19 15:35:32.343,,"10",Ruko,"50","60","20","20","30","15","136438490","136438490","151437300",,,,,,,,
1520,772,Menunggu Persetujuan Direktur,PT BERKAH 2,https://drive.google.com/file/d/1A_SUUhCDOOvVH1rrKvWxq9Mm6VC4JERQ/view?usp=drivesdk,https://drive.google.com/file/d/1oD-3zAmmBLeBHzomTxl7DSww7yQgVx3u/view?usp=drivesdk,https://drive.google.com/file/d/1abCJ97yEwc18ZWPcOTTN44hf3Q1042YZ/view?usp=drivesdk,,wzmobileindo@gmail.com,,,,,,,,"10",RUKO,"50","60.00","20","0","30","15","423797603","423797603","470406900",2026-05-07 09:56:03.744,https://drive.google.com/file/d/1Ei6dhpnP4KZEAxzkL35jTADlIVz82Jzy/view?usp=drivesdk,,"2179","45624457892","2026-04-30",https://drive.google.com/uc?export=download&id=1hwUcjDCAhvcUp3xP0hhzYkVsKCrdneQz,
1592,844,Ditolak oleh Koordinator,,,https://drive.google.com/file/d/1UnBMMamqVDvI6Td5avPUKC1gHJmGnfv6/view?usp=drivesdk,https://drive.google.com/file/d/1UvaAeP9F184LRLAn55c1NgoOdy1nCS06/view?usp=drivesdk,,obakontraktor@gmail.com,,,,,,,,,,"261.8","435.18","346.76","295.05","142.9","33.51","11422430","11422430","12676200",,,,,,,,
1984,1236,Menunggu Persetujuan Koordinator,CV ELEKTRIKA BERDIKARI,https://drive.google.com/file/d/1EIdV6-yfORz2tiWeVrCYXjrTqdHVhl4p/view?usp=drivesdk,https://drive.google.com/file/d/1sebRlbqGD04PQapknZrMx13rHv5XMZr6/view?usp=drivesdk,https://drive.google.com/file/d/1-7hkpjFsYRqBeORL4uYrcEeAqIjLG0jN/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1CwGHXqklZe2y2d7gUW--8ewwGfGrvc6u,cvelektrikaberdikari19@gmail.com,cvelektrikab@gmail.com,2026-05-07 10:11:49.728,,,,,,"48",NON RUKO,"250.5","354.53","208.06","208.06","121.6","54.6","833217800","833217800","924863100",2026-05-06 16:20:14.407,https://drive.google.com/file/d/17wVz8b8fi5rv21ExZ0Ef_4WLmOn5-YG-/view?usp=drivesdk,,"1762","10.03.04.25.11.0.00065","2026-11-04",https://drive.google.com/uc?export=download&id=1tiXgAdowjFEFr6Xz0hD02c8u1Pjv5nJ3,
1611,863,Ditolak oleh Koordinator,,,https://drive.google.com/file/d/1dusYmYBhufrIA0rdATaaIw8h4BiTiVkE/view?usp=drivesdk,https://drive.google.com/file/d/1u9WseBnuMUWvobiaZklsu0GI3XSJ_jWd/view?usp=drivesdk,,cvelektrikaberdikari19@gmail.com,,,,,,,,"20",Ruko,"220","315","190","190","120","50","26868000","26868000","29814600",,,,,,,,
1853,1105,Menunggu Persetujuan Koordinator,CV TOTIDIO,https://drive.google.com/file/d/17I3PZrGwenZRVlnvrRt8YhzJyJ1SEn65/view?usp=drivesdk,https://drive.google.com/file/d/1NKGJ1bfQcHQpHzcKaovTdNsa2CCx8ByJ/view?usp=drivesdk,https://drive.google.com/file/d/1IbgTlcHWrQNpCFjf2UkNC-bttuDWP2OL/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=12LxmRc28ozvEC72YVk9aQG2TS5Vc_Wp5,estimator.totidio@gmail.com,totidio.cons@gmail.com,2026-05-08 10:09:39.269,,,,,,"35",NON RUKO,"373.94","435.92","123.96","84.75","141.17","87.93","390657030","390657030","433621500",2026-05-08 10:06:33.566,https://drive.google.com/file/d/119QWmyRsEv7UF5qNBtbxYodeq5QMlDQ5/view?usp=drivesdk,,"5568","378495-6","2027-05-01",https://drive.google.com/uc?export=download&id=1btIUeTRdkJfkdbnHY83g2h1eIW9Izs0q,
1629,881,Ditolak oleh Koordinator,,https://drive.google.com/file/d/1BTwC5NrbUcI7QzPx_OSs4xy-c4Qn8avr/view?usp=drivesdk,https://drive.google.com/file/d/1IzvzwKqwI5SBrWr5usMKBu6ZXutXxloi/view?usp=drivesdk,https://drive.google.com/file/d/1X7jl-E0KUNOMLsy6Q20xMEzMlqatwRMn/view?usp=drivesdk,,khodayis_murni99@yahoo.co.id,,,,,,,,,,"280.05","280.05","0","0","87.7","30.03","30827200","30827200","34210200",,,,,,,,
857,1557,Disetujui,CV FAJAR WANGI,https://drive.google.com/file/d/1-v3rSztstPCiOz5_vPkZvEzHKco8WIeV/view?usp=drivesdk,https://drive.google.com/file/d/1SgMmxPjORwOSfdcV8GO8-PZACg2ozc-5/view?usp=drivesdk,https://drive.google.com/file/d/1otDMavCzYvvXac-WwuTg7ug4GnyqqNg0/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=12yXZIa7ep5_RPEraW9ol_G1-rXNFALpi,fajarwangi2008@gmail.com,fajarwangi2008@gmail.com,2026-05-07 11:31:27.450,rachmat.a.a.jaya@sat.co.id,2026-05-07 16:01:42.138,didik.darmadi@sat.co.id,2026-05-07 16:12:24.374,,"45",NON RUKO,"280","464.00","368","368","128","62","878115225","878115225","974702100",2026-05-07 11:14:46.554,https://drive.google.com/file/d/1iU-uzfVEqKxJuaCAtpxFGMbUsBOmffjM/view?usp=drivesdk,,"9767","10.03.04.25.11.0.00079","2008-11-05",https://drive.google.com/uc?export=download&id=1wYODj8LyMlf-zD-vpk2A93CFXRpeAFox,NULL
